ward_name,forecast,tier,officers_per_shift,month_num
Bromley South Ward,7.674361,High,9,1
Harold Wood Ward,7.6396027,High,9,1
South Croydon Ward,7.636725,High,9,1
Kew Ward,7.594338,High,9,1
Perivale Ward,7.5577426,High,9,1
Garden Suburb Ward,7.553553,High,9,1
Harrow Road Ward,7.5408177,High,9,1
Wood End Ward,7.5043674,High,9,1
Courtfield Ward,7.500045,High,9,1
Camden Town Ward,7.4825764,High,9,1
Erith Ward,7.446614,High,9,1
Belsize Ward,7.438648,High,9,1
Valley Ward,7.410065,High,9,1
Coningham Ward,7.4049244,High,9,1
Kentish Town South Ward,7.3873253,High,9,1
Hounslow Heath Ward,7.378004,High,9,1
Frognal Ward,7.36784,High,9,1
East Greenwich Ward,7.367103,High,9,1
St. Peter's & Canalside Ward,7.36705,High,9,1
Queen's Park Ward,7.3601933,High,9,1
Mortlake & Barnes Common Ward,7.359778,High,9,1
Bellingham Ward,7.3546653,High,9,1
Walpole Ward,7.3389688,High,9,1
Southbury Ward,7.313989,High,9,1
Greenhill Ward,7.2851844,High,9,1
Highbury Ward,7.275679,High,9,1
Tooting Bec Ward,7.270744,High,9,1
Hanworth Village Ward,7.258593,High,9,1
Cann Hall Ward,7.2428346,High,9,1
Northolt Mandeville Ward,7.222276,High,9,1
Golders Green Ward,7.2154703,High,9,1
Pimlico North Ward,7.210648,High,9,1
Orpington Ward,7.2101245,High,9,1
Stockwell West & Larkhall Ward,7.207961,High,9,1
De Beauvoir Ward,7.205314,High,9,1
Stroud Green Ward,7.185077,High,9,1
Harrow Weald Ward,7.1626444,High,9,1
Belmore Ward,7.152756,High,9,1
Heston Central Ward,7.1423264,High,9,1
Abingdon Ward,7.1325326,High,9,1
Tottenham Hale Ward,7.1257534,High,9,1
Woodhouse Ward,7.1184096,High,9,1
Northfield Ward,7.067576,High,9,1
Jubilee Ward,7.041734,High,9,1
West Ham Ward,7.0295105,High,9,1
East Finchley Ward,7.006526,High,9,1
Blackheath Westcombe Ward,7.001619,High,9,1
Laycock Ward,7.0012107,High,9,1
Southgate Ward,6.9526043,High,9,1
St. James Ward,6.94844,High,9,1
Streatham Hill West & Thornton Ward,6.947325,High,9,1
Roehampton Ward,6.937591,High,9,1
St. Dunstan's Ward,6.933806,High,9,1
Goose Green Ward,6.9237185,High,9,1
Mill Hill Ward,6.919948,High,9,1
White Hart Lane Ward,6.904492,High,9,1
Sands End Ward,6.9002376,High,9,1
Hanwell Broadway Ward,6.8950877,High,9,1
Blackheath Ward,6.860165,High,9,1
Munster Ward,6.8598294,High,9,1
Thornton Heath Ward,6.837815,High,9,1
Shacklewell Ward,6.834687,High,9,1
Wandsworth Common Ward,6.8212247,High,9,1
Crofton Park Ward,6.8098607,Medium,6,1
North Richmond Ward,6.8087115,Medium,6,1
Northbury Ward,6.8039594,Medium,6,1
Telegraph Hill Ward,6.8029833,Medium,6,1
West Green Ward,6.8000546,Medium,6,1
Palace & Hurlingham Ward,6.796021,Medium,6,1
Canonbury Ward,6.7830825,Medium,6,1
Knight's Hill Ward,6.7689176,Medium,6,1
Feltham North Ward,6.76094,Medium,6,1
Kidbrooke Village & Sutcliffe Ward,6.757825,Medium,6,1
Arnos Grove Ward,6.757537,Medium,6,1
Haverstock Ward,6.7569313,Medium,6,1
Barnsbury Ward,6.7488313,Medium,6,1
St. Pancras & Somers Town Ward,6.7403336,Medium,6,1
Totteridge & Woodside Ward,6.7288814,Medium,6,1
Heston East Ward,6.6999245,Medium,6,1
Hounslow Central Ward,6.6806993,Medium,6,1
Wembley Park Ward,6.673495,Medium,6,1
Streatham Common & Vale Ward,6.657268,Medium,6,1
Boleyn Ward,6.6564407,Medium,6,1
Bexleyheath Ward,6.6233807,Medium,6,1
Rotherhithe Ward,6.612046,Medium,6,1
Plumstead Common Ward,6.5991306,Medium,6,1
Tufnell Park Ward,6.596878,Medium,6,1
Goresbrook Ward,6.5750837,Medium,6,1
Bromley North Ward,6.564516,Medium,6,1
Shepherd's Bush Green Ward,6.5445914,Medium,6,1
Chislehurst Ward,6.526501,Medium,6,1
Carterhatch Ward,6.510996,Medium,6,1
Plaistow North Ward,6.488686,Medium,6,1
Rainham & Wennington Ward,6.4833694,Medium,6,1
Belvedere Ward,6.4444757,Medium,6,1
Southfields Ward,6.4441886,Medium,6,1
Falconbrook Ward,6.4285116,Medium,6,1
Greenwich Creekside Ward,6.3997483,Medium,6,1
Rush Green & Crowlands Ward,6.391471,Medium,6,1
Pembridge Ward,6.38485,Medium,6,1
Winchmore Hill Ward,6.3760223,Medium,6,1
Woodberry Down Ward,6.370932,Medium,6,1
Whalebone Ward,6.361438,Medium,6,1
East Barnet Ward,6.3306913,Medium,6,1
Hounslow East Ward,6.3199577,Medium,6,1
Vincent Square Ward,6.3167067,Medium,6,1
Forest Hill Ward,6.3165393,Medium,6,1
East Ham South Ward,6.3163185,Medium,6,1
Greenford Broadway Ward,6.2654357,Medium,6,1
Valence Ward,6.256442,Medium,6,1
Eastcote Ward,6.2503777,Medium,6,1
South Woodford Ward,6.2399297,Medium,6,1
Canning Town North Ward,6.2210884,Medium,6,1
Alperton Ward,6.2027836,Medium,6,1
St. Andrew's Ward,6.1798916,Medium,6,1
Holland Ward,6.1666255,Medium,6,1
Teddington Ward,6.146477,Medium,6,1
Bullsmoor Ward,6.143897,Medium,6,1
St. Margarets & North Twickenham Ward,6.141804,Medium,6,1
Clapham Park Ward,6.1410704,Medium,6,1
New Cross Gate Ward,6.1410537,Medium,6,1
Welsh Harp Ward,6.1288624,Medium,6,1
Southfield Ward,6.110375,Medium,6,1
Royal Hospital Ward,6.096206,Medium,6,1
Oval Ward,6.0938087,Medium,6,1
Edgwarebury Ward,6.075909,Medium,6,1
Upminster Ward,6.0163755,Medium,6,1
Yiewsley Ward,6.0122824,Medium,6,1
Kennington Ward,6.0055385,Medium,6,1
Kentish Town North Ward,5.999565,Medium,6,1
Wembley Central Ward,5.9935946,Medium,6,1
Brixton Rush Common Ward,5.988764,Medium,6,1
South Ruislip Ward,5.9879684,Medium,6,1
Selsdon & Addington Village Ward,5.960557,Medium,6,1
Cheam Ward,5.9597898,Medium,6,1
Churchfields Ward,5.9467316,Medium,6,1
Clapham Common & Abbeville Ward,5.941682,Medium,6,1
North Hanwell Ward,5.934943,Medium,6,1
Valentines Ward,5.931488,Medium,6,1
Lee Green Ward,5.924323,Medium,6,1
Eastbury Ward,5.90539,Medium,6,1
West Drayton Ward,5.8989134,Medium,6,1
Stanley Ward,5.898671,Medium,6,1
Chelsea Riverside Ward,5.8976607,Medium,6,1
Limehouse Ward,5.8900456,Medium,6,1
St. George's Ward,5.845043,Medium,6,1
Manor Park Ward,5.8274074,Medium,6,1
Northwood Ward,5.794367,Medium,6,1
Addiscombe East Ward,5.775345,Medium,6,1
Abbey Wood Ward,5.7671294,Medium,6,1
Sutton Central Ward,5.7530313,Medium,6,1
West Kensington Ward,5.752527,Medium,6,1
Wembley Hill Ward,5.7448792,Medium,6,1
Whetstone Ward,5.7284713,Medium,6,1
West Dulwich Ward,5.7225757,Medium,6,1
Shortlands & Park Langley Ward,5.7219987,Medium,6,1
Pinner South Ward,5.71138,Medium,6,1
Stepney Green Ward,5.7087436,Medium,6,1
St. Edward's Ward,5.7038546,Medium,6,1
"Ham, Petersham & Richmond Riverside Ward",5.6981497,Medium,6,1
Seven Sisters Ward,5.694302,Medium,6,1
Muswell Hill Ward,5.673009,Medium,6,1
Wimbledon Park Ward,5.664806,Medium,6,1
Southall Broadway Ward,5.645743,Medium,6,1
Maryland Ward,5.630094,Medium,6,1
Thamesmead East Ward,5.6285143,Medium,6,1
East Wickham Ward,5.625192,Medium,6,1
Brownswood Ward,5.6189594,Medium,6,1
Barnhill Ward,5.6129904,Medium,6,1
Marlborough Ward,5.611483,Medium,6,1
Fulham Town Ward,5.5978355,Medium,6,1
Parsons Green & Sandford Ward,5.5827575,Medium,6,1
Furzedown Ward,5.573064,Medium,6,1
South Hornchurch Ward,5.5623736,Medium,6,1
Stanmore Ward,5.552306,Medium,6,1
Forest Ward,5.5274615,Medium,6,1
Northcote Ward,5.523391,Medium,6,1
