ward,month,pred1,actual,pred2,abs_diff,rel_diff_pct
Dulwich Hill,11,5.2415867,1.0,5.135043236873006,0.10654346312699392,2.0535272776452267
Dulwich Village,1,7.2190604,8.0,6.9467125183299405,0.2723478816700595,3.845153854155777
Dulwich Village,1,7.2190604,8.0,6.9467125183299405,0.2723478816700595,3.845153854155777
Dulwich Village,2,6.887374,5.0,6.9467125183299405,0.05933851832994019,0.8578595811341445
Dulwich Village,2,6.887374,5.0,6.9467125183299405,0.05933851832994019,0.8578595811341445
Dulwich Village,3,6.9038806,8.0,6.9467125183299405,0.0428319183299406,0.6184849697628708
Dulwich Village,3,6.9038806,8.0,6.9467125183299405,0.0428319183299406,0.6184849697628708
Dulwich Village,4,6.440485,1.0,6.077026123757294,0.36345887624270556,5.807206762578991
Dulwich Village,4,6.440485,1.0,6.9467125183299405,0.5062275183299407,7.562860227270223
Dulwich Village,5,6.3886604,2.0,6.9467125183299405,0.5580521183299405,8.369501501722207
Dulwich Village,5,6.3886604,2.0,6.9467125183299405,0.5580521183299405,8.369501501722207
Dulwich Village,6,6.3886604,4.0,6.9467125183299405,0.5580521183299405,8.369501501722207
Dulwich Village,6,6.3886604,4.0,6.9467125183299405,0.5580521183299405,8.369501501722207
Dulwich Village,7,6.439606,6.0,6.9467125183299405,0.5071065183299401,7.57648964703114
Dulwich Village,7,6.439606,6.0,6.9467125183299405,0.5071065183299401,7.57648964703114
Dulwich Village,8,6.558078,4.0,6.9467125183299405,0.38863451832994045,5.755506059904447
Dulwich Village,8,6.558078,4.0,6.9467125183299405,0.38863451832994045,5.755506059904447
Dulwich Village,9,6.588949,6.0,6.9467125183299405,0.35776351832994013,5.286236182035997
Dulwich Village,9,6.588949,6.0,6.9467125183299405,0.35776351832994013,5.286236182035997
Dulwich Village,10,6.8936667,6.0,6.9467125183299405,0.05304581832994071,0.7665370651071152
Dulwich Village,10,6.8936667,6.0,6.9467125183299405,0.05304581832994071,0.7665370651071152
Dulwich Village,11,6.842398,3.0,6.9467125183299405,0.10431451832994032,1.5129985098208394
Dulwich Village,11,6.842398,3.0,6.9467125183299405,0.10431451832994032,1.5129985098208394
Dulwich Village,12,6.84294,2.0,6.9467125183299405,0.10377251832994094,1.5050780749116193
Dulwich Village,12,6.84294,2.0,6.9467125183299405,0.10377251832994094,1.5050780749116193
Dulwich Wood,1,8.1605015,8.0,5.3555223135218855,2.804979186478115,41.50598171737341
Dulwich Wood,1,8.1605015,8.0,5.3555223135218855,2.804979186478115,41.50598171737341
Dulwich Wood,2,7.6001906,7.0,5.3555223135218855,2.244668286478115,34.65140515942358
Dulwich Wood,2,7.6001906,7.0,5.3555223135218855,2.244668286478115,34.65140515942358
Dulwich Wood,3,7.6001906,10.0,5.3555223135218855,2.244668286478115,34.65140515942358
Dulwich Wood,3,7.6001906,10.0,5.3555223135218855,2.244668286478115,34.65140515942358
Dulwich Wood,4,6.788494,2.0,5.3555223135218855,1.4329716864781146,23.59963375349812
Dulwich Wood,4,6.788494,2.0,5.3555223135218855,1.4329716864781146,23.59963375349812
Dulwich Wood,5,6.788494,5.0,5.3555223135218855,1.4329716864781146,23.59963375349812
Dulwich Wood,5,6.788494,5.0,5.3555223135218855,1.4329716864781146,23.59963375349812
Dulwich Wood,6,6.788494,9.0,5.3555223135218855,1.4329716864781146,23.59963375349812
Dulwich Wood,6,6.788494,9.0,5.3555223135218855,1.4329716864781146,23.59963375349812
Dulwich Wood,7,6.8281345,4.0,5.3555223135218855,1.4726121864781145,24.17356642619404
Dulwich Wood,7,6.8281345,4.0,5.3555223135218855,1.4726121864781145,24.17356642619404
