ward,mae,rmse,smape,mase
Knight's Hill,2.5266238682483224,2.9438056338581973,50.663252044234376,0.7978812215521018
Knightsbridge & Belgravia,3.463963963963964,4.165508117480473,43.253915399952696,0.7993762993762994
Knightsbridge and Belgravia,3.412162162162162,3.412162162162162,199.9999994138614,
Lady Margaret,1.3177316411034499,1.7369979538754752,35.270528704861064,0.7187627133291545
Ladywell,3.1830375489752156,3.9376452433058473,55.46973997036403,0.5787340998136755
Ladywood,0.0,0.0,0.0,
Laleham and Shepperton Green,0.0,0.0,0.0,
Lancaster Gate,4.749437545508695,5.899446328642925,32.23282454892828,0.7701790614338423
Lanchester,0.0,0.0,0.0,
Langley Green & Tushmore,0.0,0.0,0.0,
Langley Meads,0.0,0.0,0.0,
Langley St Mary's,0.0,0.0,0.0,
Lansbury,4.813207146893155,5.68107385374717,40.31332930527681,0.9024763400424666
Larkswood,2.4876673575952446,3.481753908065369,44.269620710070726,0.7463002072785734
Lavender,3.5797690966264515,4.2963654836045455,35.194875503114595,0.6608804486079602
Lavender Fields,2.4051477928397094,3.51572788406316,56.09815971254989,0.5890157860015616
Laycock,3.726379945399824,4.071423661953212,40.61067224769116,0.9937013187732864
Lea Bridge,5.5575598809797055,6.825392970295489,31.44753141348824,0.7939371258542437
Leatherhead North,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Lee Green,2.7998155830875775,3.1458122580767993,49.82348950585022,0.7999473094535936
Leverstock Green,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Lewisham Central,2.5406126126374544,3.2700289825911377,37.99716161073061,0.8239824689634987
Leyton,3.1247265500647323,4.30739288439692,36.831957498212134,0.6147003049307671
Leytonstone,2.485069420406432,3.3109633933392058,40.6583999870696,0.5421969644523125
Lillie,1.4262956691417668,1.7468845811045202,63.791967928584135,0.7779794558955092
Limehouse,3.234913604102573,3.8109966824472807,61.588610076165665,0.946803981688558
Little Ilford,2.0645644502761273,2.463111363790332,40.4967136870724,0.750750709191319
Little London & Woodhouse,0.0,0.0,0.0,
Little Venice,2.8405587477246415,3.3300362151357636,39.25440681806278,0.8740180762229666
London Bridge & West Bermondsey,4.343886057378291,6.6043566822478255,26.18926705701657,0.5373879658612318
London Fields,4.678594806430989,5.815196522477485,34.226454607468845,0.5728891599711415
Long Ditton,0.1699243028775943,0.337220768853688,197.193906666783,0.6796972115103772
Longbridge,1.4579461886298055,1.797062085868054,43.05745206837337,1.1663569509038445
Longlands,1.7379860199204025,1.961488756729936,86.56200149262837,1.1586573466136016
Longsight,0.0,0.0,0.0,
Longthornton,2.04368264214888,2.509138749482713,54.38466212546776,0.817473056859552
Loughton Fairmead,0.0,0.0,0.0,
Lower Edmonton,2.9038577352599795,3.574697322003498,36.61463652845396,0.7919612005254489
Lower Morden,2.021498741380791,2.4506751297114757,72.84315744113944,1.1026356771167953
Loxford,2.2570755591610654,2.6806988408450247,34.42896605914345,0.6771226677483196
Maida Vale,2.4687997641555937,3.30583998951816,28.167277735080432,0.6733090265878892
Manor Park,2.3326607048139065,3.021308250787758,41.090320107409624,0.7775535682713022
Markhouse,1.3895630229335236,1.8969867977850683,79.43973940120688,0.6175835657482327
Marlborough,1.8314094155850338,2.278910935223716,48.048716840808645,0.8790765194808161
Marshalls & Rise Park,3.0447076985594457,5.106375574993381,51.48345664009022,0.7773721783556031
Maryland,2.1666666666666665,2.7254406339187565,48.20559702803089,0.5652173913043478
Marylebone,6.475260531278977,8.891115288894666,19.46575330650594,0.7471454459168051
Mawneys,2.561176554789346,2.9766693135083764,65.26859682328657,0.7147469455226082
Mayesbrook,2.511099654735169,2.9679829172744765,52.169857293160874,0.6550694751483049
Mayfield,2.9776553709649782,3.9769881865760492,92.71688455834595,0.9162016526046087
Meriden,0.0,0.0,0.0,
Merton Park,1.8372283498800195,2.2801312079981355,65.73130355203443,1.0021245544800106
"Mickleham, Westcott & Okewood",0.0,0.0,0.0,
Middle Park & Horn Park,1.4218832425660857,1.8971544493647,66.0174857176338,0.7755726777633195
Mildmay,4.090332681305039,4.647557482624251,67.80860518312917,1.0443402590566058
Mile End,2.6970720720720727,3.28679004495426,21.72547531177688,0.82986832986833
Mill Hill,3.8404209301953913,4.750721390016807,54.683561879872975,0.8229473421847266
Molesey East,0.08108108108108109,0.08108108108108109,199.99997533333638,
Molesey West,0.07432432412329901,0.07432432412329901,199.99997309091268,
Molyneux,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Monkhams,1.4772117978006436,1.7985165081860246,53.47390908171771,0.6112600542623353
Moor Park & Eastbury,0.03348604897068916,0.03350285270243966,199.99994020341535,
Mortlake & Barnes Common,3.624198721625214,4.13702157851909,54.49722691462225,0.9664529924333904
Motspur Park & Old Malden East,1.5763323616197702,1.9640873291362029,83.4289383565643,0.6755710121227586
Mottingham,1.6297826734148806,2.0138225002724006,41.82565180490856,0.6984782886063774
"Mottingham, Coldharbour & New Eltham",1.936935718176852,2.4821326188753914,67.42606250406365,0.5810807154530556
Moulsecoomb & Bevendean,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Munster,2.8316223354327046,3.626324684338269,49.07904093588087,0.9438741118109015
Muswell Hill,1.7732528757470638,2.113063815303169,40.437426460664945,1.0132873575697507
Myatt's Fields,2.641964754141572,3.0232661387259863,62.37728432984112,0.9607144560514808
Neath East,0.0,0.0,0.0,
Nechells,0.0,0.0,0.0,
New Addington North,1.0306068556931278,1.3559974866931546,62.271653163028816,0.6183641134158767
New Addington South,2.198046526615957,2.674653773674796,61.26142400284825,1.5515622540818517
New Cross Gate,2.1918843117313584,2.837811106285859,33.56978124308706,0.6415271156286904
New Malden Village,2.6861428981896918,3.3020259444787117,70.03693921892518,0.871181480493954
New Southgate,1.9501408047368205,2.3488136648406717,57.993838115293485,0.9750704023684102
Newbury,1.8519564330980423,2.8659102410399337,63.48773565564273,0.7936956141848752
Newington,3.0133856774320678,4.234305141311375,34.66008885767219,0.6234591056756003
Newtown,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Nine Elms,5.051679165785129,5.877161071388539,123.22943396866496,1.7320042854120443
Noel Park,2.15102478812004,2.602828136188957,21.945447944926542,0.860409915248016
Nonsuch,0.19093719387211014,0.2321621425488137,197.42177567782971,2.291246326465322
Norbiton,1.7742049643175302,2.3822240121886176,47.664647962854076,0.709681985727012
Norbury & Pollards Hill,2.6642287608242854,3.235663436063818,43.029060880534885,0.8197626956382417
Norbury Park,1.231126044823477,1.5268338093349594,57.36708479403719,0.7775532914674592
Nork,0.09235694874380353,0.19964807930711706,199.06363144261346,1.1082833849256424
Norland,2.4639639639639648,2.8511485346936607,52.94546371383736,0.985585585585586
Normanton,0.0,0.0,0.0,
North Acton,4.094305671835404,4.668141355938227,42.17427732901764,0.7558718163388437
North Bermondsey,3.7494369369369367,5.228510345073121,31.082183012991553,0.633707651313285
North Cheam,1.8456324909889343,2.0803071534827793,87.25714861343482,1.4765059927911475
North Greenford,3.162448510778288,4.830513983014849,69.40642678966128,0.6432098665989738
North Hanwell,2.3161401203033822,3.0527296707840685,49.39835710818319,0.7126584985548868
North Harrow,1.3676215064666994,1.5709698403377303,70.57327953284278,0.8205729038800196
North Richmond,1.8438294934692125,2.27656742808567,45.16708591822369,0.5822619453060671
North Walworth,4.610909299290738,6.121561249214913,39.882337170743284,0.9070641244506371
Northaw and Cuffley,0.0,0.0,0.0,
Northborough & Lynch Hill Valley,0.0,0.0,0.0,
Northbury,2.2120750419519517,2.5722604543972123,51.58056028427579,0.6173232675214748
Northcote,2.4045426840637236,2.876462469580652,57.92988847501487,0.6870121954467782
Northfield,2.992874771380908,3.3860871324952506,75.8095556297937,0.816238574012975
Northfleet South,0.0,0.0,0.0,
Northolt Mandeville,4.082419724022864,5.12226183857537,79.2603302921998,1.1392799229831247
Northolt West End,2.0248263823008323,2.5682330359350933,49.40065025164619,0.7146446055179407
Northumberland Heath,2.534902296545027,2.9639075028905597,88.21903723899968,1.0863866985192971
Northumberland Park,4.8391369090756235,5.583575118898421,39.32113657666921,0.9519613591624178
Northwick Park,2.4669843012101094,2.75465512872844,106.08808067159588,0.9549616649845584
Northwood,2.560749403762817,2.9984928264460664,53.98514241469332,1.2803747018814085
Northwood Hills,2.013640293520309,2.3262061370696454,40.34933182041555,0.9665473408897483
Norwood Green,2.615587155759764,3.2347926763560957,43.247630988721355,0.6154322719434738
Notting Dale,1.8032904648160712,2.2009916682481054,42.72217902146164,0.772838770635459
Nunhead & Queen's Road,3.8743012734593463,4.946455962635324,46.680770388210426,0.9116002996374932
Oakwood,1.4514011161443863,1.6993101635590258,55.243598858544686,0.9166743891438229
Oatlands and Burwood Park,0.0,0.0,0.0,
Ockendon,0.08333333333333333,0.408248290463863,8.333333291666667,0.5
Old Coulsdon,1.5748707906562658,1.8066836383927893,68.99496325008828,0.9449224743937594
Old Kent Road,2.9166666666666665,3.6113875466516148,39.786134209268134,0.7
Old Malden,1.5078229546037132,1.7200826327748278,119.7522029668826,0.9523092344865557
Orpington,2.908264214538781,3.5667565235233045,58.38542986148404,0.6345303740811886
Orsett,0.02702702699858713,0.02702702699858713,199.9999260000273,
Osterley & Spring Grove,3.50820065652465,4.741072516177266,48.80364375160296,0.9567819972339956
Oval,4.11936936936937,4.656917012923298,70.59738739140822,0.9886486486486487
Oxton,0.0,0.0,0.0,
Palace & Hurlingham,2.6009881471124756,3.5177530937753207,57.66159050903873,0.9179958166279325
Palmers Green,2.4306295910645317,3.180902988007911,45.18392531884472,1.0057777618198063
Park Hill & Whitgift,3.0154765191184327,3.8098640586009678,72.2555572202341,1.0051588397061442
Park Wood,0.0,0.0,0.0,
Parsloes,2.31948676361518,2.5916569986119873,56.421406331919,0.7324695042995305
Parsons Green & Sandford,1.745715867210654,2.188063541331653,47.005100907902516,0.910808278544689
Paulsgrove,0.0,0.0,0.0,
Peckham,2.9751899436382927,3.7392667014866143,37.19318076210662,0.8114154391740799
