ward,month,forecast
Alvaston North,2025-07-01,0.0
Alvaston North,2025-08-01,0.0
Alvaston North,2025-09-01,0.0
Alvaston North,2025-10-01,0.0
Alvaston North,2025-11-01,0.0
Alvaston North,2025-12-01,0.0
Alvaston North,2026-01-01,0.0
Alvaston North,2026-02-01,0.0
Alvaston North,2026-03-01,0.0
Ardwick,2025-04-01,0.0
Ardwick,2025-05-01,0.0
Ardwick,2025-06-01,0.0
Ardwick,2025-07-01,0.0
Ardwick,2025-08-01,0.0
Ardwick,2025-09-01,0.0
Ardwick,2025-10-01,0.0
Ardwick,2025-11-01,0.0
Ardwick,2025-12-01,0.0
Ardwick,2026-01-01,0.0
Ardwick,2026-02-01,0.0
Ardwick,2026-03-01,0.0
Arnos Grove,2025-04-01,7.397855979550964
Arnos Grove,2025-05-01,6.786190399567386
Arnos Grove,2025-06-01,6.9645391298660675
Arnos Grove,2025-07-01,7.881160609368534
Arnos Grove,2025-08-01,7.159902999342001
Arnos Grove,2025-09-01,7.257719987409244
Arnos Grove,2025-10-01,8.057691618783945
Arnos Grove,2025-11-01,7.555567304832255
Arnos Grove,2025-12-01,8.303128108331236
Arnos Grove,2026-01-01,7.956620097461747
Arnos Grove,2026-02-01,8.003219351676002
Arnos Grove,2026-03-01,6.576659979913643
Arsenal,2025-04-01,9.008148736352581
Arsenal,2025-05-01,9.845783480351827
Arsenal,2025-06-01,7.52826200830593
Arsenal,2025-07-01,8.900600969020978
Arsenal,2025-08-01,9.178310034704069
Arsenal,2025-09-01,9.079131367608545
Arsenal,2025-10-01,8.953267961127823
Arsenal,2025-11-01,8.974807231729997
Arsenal,2025-12-01,8.575381778142148
Arsenal,2026-01-01,9.132158244936429
Arsenal,2026-02-01,8.68524209748512
Arsenal,2026-03-01,8.689659629581822
Ashdown,2025-04-01,0.0
Ashdown,2025-05-01,0.0
Ashdown,2025-06-01,0.0
Ashdown,2025-07-01,0.0
Ashdown,2025-08-01,0.0
Ashdown,2025-09-01,0.0
Ashdown,2025-10-01,0.0
Ashdown,2025-11-01,0.0
Ashdown,2025-12-01,0.0
Ashdown,2026-01-01,0.0
Ashdown,2026-02-01,0.0
Ashdown,2026-03-01,0.0
Ashford East,2025-04-01,0.049957943590084326
Ashford East,2025-05-01,0.06066764133175775
Ashford East,2025-06-01,0.06066764133175775
Ashford East,2025-07-01,0.06066764133175775
Ashford East,2025-08-01,0.06066764133175775
Ashford East,2025-09-01,0.06066764133175775
Ashford East,2025-10-01,0.06066764133175775
Ashford East,2025-11-01,0.06066764133175775
Ashford East,2025-12-01,0.06066764133175775
Ashford East,2026-01-01,0.06066764133175775
Ashford East,2026-02-01,0.06066764133175775
Ashford East,2026-03-01,0.06066764133175775
Ashford North and Stanwell South,2025-04-01,0.04351250000840199
Ashford North and Stanwell South,2025-05-01,0.05306039497348098
Ashford North and Stanwell South,2025-06-01,0.05306039497348098
Ashford North and Stanwell South,2025-07-01,0.05306039497348098
Ashford North and Stanwell South,2025-08-01,0.05306039497348098
Ashford North and Stanwell South,2025-09-01,0.05306039497348098
Ashford North and Stanwell South,2025-10-01,0.05306039497348098
Ashford North and Stanwell South,2025-11-01,0.05306039497348098
Ashford North and Stanwell South,2025-12-01,0.05306039497348098
Ashford North and Stanwell South,2026-01-01,0.05306039497348098
Ashford North and Stanwell South,2026-02-01,0.05306039497348098
Ashford North and Stanwell South,2026-03-01,0.05306039497348098
Ashford Town,2025-04-01,0.0
Ashford Town,2025-05-01,0.0
Ashford Town,2025-06-01,0.0
Ashford Town,2025-07-01,0.0
Ashford Town,2025-08-01,0.0
Ashford Town,2025-09-01,0.0
Ashford Town,2025-10-01,0.0
Ashford Town,2025-11-01,0.0
Ashford Town,2025-12-01,0.0
Ashford Town,2026-01-01,0.0
Ashford Town,2026-02-01,0.0
